client,tau,theta_star,final_pnl
A,5,0.465,11065.3223
A,10,0.495,13492.8477
A,15,0.475,14239.0802
A,20,0.485,17554.1299
A,25,0.48,19550.2488
A,30,0.5,21094.6873
B,5,0.47,9473.5496
B,10,0.51,10586.5836
B,15,0.515,11846.4934
B,20,0.485,12136.3771
B,25,0.5,13958.6893
B,30,0.48,14873.9995
C,5,0.465,8653.1534
C,10,0.475,9386.9606
C,15,0.48,9361.8497
C,20,0.49,9181.5185
C,25,0.5,9638.2237
C,30,0.49,9397.2632
D,5,0.475,4824.6459
D,10,0.52,3613.8581
D,15,0.545,2150.64
D,20,0.51,94.7992
D,25,0.505,-279.4723
D,30,0.465,392.4716
E,5,0.475,3401.5499
E,10,0.0,0.0
E,15,0.0,0.0
E,20,0.45,21.1652
E,25,0.46,-212.3263
E,30,0.0,0.0
F,5,0.485,2250.298
F,10,0.485,27.5853
F,15,0.49,13.3941
F,20,0.515,-193.0442
F,25,0.0,0.0
F,30,0.56,-295.5707
